entry_date,exit_date,dias,entry_price,exit_price,stop_inicial,shares,pnl,pnl_pct,saida,equity_pos
2021-09-27,2021-10-20,23,32.91,32.65,30.90,484.82,-129.63,-0.81,trailing,97300.86
2021-12-13,2022-01-04,22,33.81,33.51,31.97,528.65,-159.58,-0.89,trailing,97141.28
2022-07-28,2022-08-12,15,39.35,38.61,37.43,493.67,-369.44,-1.90,trailing,96771.84
2022-08-25,2022-09-15,21,42.67,43.22,40.33,413.99,229.63,1.30,trailing,97001.47
2023-05-26,2023-07-11,46,48.43,49.80,45.53,334.23,456.98,2.82,trailing,97458.45
2023-11-22,2024-02-27,97,59.76,72.11,57.25,326.16,4028.28,20.67,trailing,101486.73
2024-07-09,2024-08-29,51,77.66,87.91,73.06,220.52,2259.78,13.20,trailing,103746.51
2025-02-04,2025-02-24,20,89.93,89.42,85.68,230.72,-119.07,-0.57,trailing,103627.44
2025-03-27,2025-06-02,67,95.85,110.06,91.37,216.23,3072.01,14.82,trailing,106699.45
2025-09-05,2025-10-02,27,118.93,121.22,112.84,175.12,400.31,1.92,trailing,107099.76
2025-11-05,2025-12-05,30,129.78,130.89,125.05,165.05,182.35,0.85,trailing,107282.12
2026-02-02,2026-02-26,24,143.54,155.88,136.58,149.48,1844.59,8.60,fim_periodo,109126.71
2018-07-20,2018-08-15,26,20.34,21.29,19.07,787.82,748.93,4.67,trailing,100748.93
2018-10-02,2018-11-06,35,22.52,24.83,21.11,711.61,1640.55,10.24,trailing,102389.48
2019-01-10,2019-02-06,27,29.33,29.48,27.61,593.79,88.02,0.51,trailing,102477.50
2019-04-23,2019-04-30,7,28.66,27.97,26.96,603.40,-416.23,-2.41,trailing,102061.27
2019-07-04,2019-07-24,20,29.63,28.71,28.31,688.88,-632.71,-3.10,trailing,101428.56
2019-09-27,2019-10-02,5,28.65,27.36,27.20,700.86,-906.94,-4.52,trailing,100521.62
2019-10-22,2019-11-08,17,29.95,29.41,28.51,671.15,-363.15,-1.81,trailing,100158.47
2019-12-27,2020-01-15,19,30.40,29.75,29.40,659.04,-427.40,-2.13,trailing,99731.07
2020-10-22,2020-11-06,15,22.38,21.41,20.79,629.29,-610.84,-4.34,trailing,99120.23
