time_stop,combo,ticker,data_entrada,data_saida,dias,mrs_entrada,cruzamentos,entrada,saida,pnl_pct,ret_bova,ret_rel,motivo
10,TS10d,AXIA3,2024-10-02,2024-10-16,10,-4.140,6,35.470,33.920,-4.365,-1.371,-2.994,time_stop
10,TS10d,AXIA3,2026-01-14,2026-01-21,5,-4.034,3,49.900,52.400,5.000,4.136,0.864,take_profit
10,TS10d,AXIA3,2026-01-26,2026-02-06,9,-4.743,3,54.350,57.070,5.000,2.248,2.752,take_profit
5,TS5d,AZZA3,2022-03-04,2022-03-11,5,-4.647,6,66.550,64.690,-2.796,-2.446,-0.350,time_stop
5,TS5d,AZZA3,2022-03-14,2022-03-21,5,-4.291,4,64.790,66.840,3.156,5.564,-2.408,time_stop
5,TS5d,AZZA3,2022-03-22,2022-03-23,1,-4.923,5,67.000,70.350,5.000,-0.177,5.177,take_profit
5,TS5d,AZZA3,2022-06-10,2022-06-20,5,-4.184,5,62.340,58.640,-5.945,-5.431,-0.514,time_stop
5,TS5d,AZZA3,2022-06-21,2022-06-28,5,-4.022,5,59.380,57.900,-2.497,0.674,-3.171,time_stop
5,TS5d,AZZA3,2022-06-30,2022-07-07,5,-4.945,7,57.210,60.070,5.000,2.505,2.495,take_profit
5,TS5d,AZZA3,2022-12-12,2022-12-19,5,-4.953,3,67.580,66.230,-1.994,-0.422,-1.572,time_stop
5,TS5d,AZZA3,2022-12-20,2022-12-23,3,-4.653,3,66.040,69.340,5.000,2.366,2.634,take_profit
5,TS5d,AZZA3,2022-12-26,2023-01-03,5,-4.606,3,69.350,61.670,-11.082,-4.441,-6.641,time_stop
5,TS5d,AZZA3,2023-02-14,2023-02-23,5,-4.619,4,68.800,65.870,-4.269,-0.268,-4.001,time_stop
5,TS5d,AZZA3,2025-08-28,2025-09-04,5,-4.413,3,31.460,30.190,-4.015,-0.217,-3.798,time_stop
